epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
103,10859.4,1.00841,0.39119,0.00457,0.90953,0.89937,0.93201,0.56404,1.49536,0.6302,0.00714,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,10964.6,1.01026,0.39711,0.00474,0.90534,0.90395,0.93114,0.56382,1.51203,0.59126,0.00718,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,11069.3,1.01529,0.39389,0.00494,0.90943,0.90765,0.93262,0.56603,1.48851,0.59028,0.00726,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,11174.5,0.97678,0.38129,0.00465,0.91342,0.89548,0.93021,0.55793,1.49218,0.58998,0.00721,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,11279.6,0.99535,0.3939,0.00456,0.91929,0.89454,0.92831,0.55593,1.49846,0.56405,0.00724,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,11384.8,1.01048,0.38439,0.00465,0.91146,0.90152,0.93163,0.56213,1.50049,0.57137,0.00719,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,11489.3,0.99408,0.3823,0.00465,0.91431,0.89417,0.92555,0.56113,1.50603,0.58443,0.00725,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,11594.1,0.98476,0.38379,0.00466,0.89974,0.89831,0.92297,0.5603,1.5131,0.60267,0.00722,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,11698.8,0.97176,0.37234,0.00454,0.90039,0.89373,0.92774,0.5589,1.51964,0.61345,0.00729,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,11803.5,0.98835,0.38323,0.00473,0.8995,0.90301,0.92496,0.56609,1.49938,0.60932,0.00721,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,11908.5,0.9703,0.38841,0.00462,0.90988,0.89454,0.92524,0.56492,1.51168,0.60546,0.00728,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,12013.7,0.95953,0.37973,0.00456,0.91997,0.87476,0.92982,0.55927,1.52285,0.62728,0.00726,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
