epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,2177.38,1.15045,0.47521,0.00447,0.92551,0.88426,0.94555,0.61802,1.25808,0.47514,0.00652,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,2319.07,1.1329,0.46209,0.00443,0.91172,0.9084,0.94598,0.6209,1.26273,0.4744,0.00659,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,2461.31,1.13527,0.46683,0.00427,0.92037,0.89441,0.94728,0.62291,1.25578,0.47455,0.00653,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,2603.95,1.14383,0.4674,0.00443,0.91455,0.90212,0.94572,0.62113,1.26627,0.47161,0.00663,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,2745.63,1.1243,0.46853,0.00428,0.89898,0.91138,0.94892,0.62227,1.25456,0.47029,0.00654,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,2888.02,1.14469,0.46223,0.00451,0.9159,0.90212,0.94829,0.62132,1.26142,0.47875,0.00656,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,3030.56,1.13803,0.46442,0.00432,0.91753,0.89749,0.94712,0.62315,1.26224,0.46903,0.00661,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,3172.78,1.13553,0.46547,0.00432,0.92152,0.90086,0.94923,0.62521,1.25733,0.46948,0.00654,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,3314.8,1.10607,0.45146,0.00431,0.91873,0.89616,0.94745,0.62047,1.26072,0.48566,0.00661,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,3457,1.13351,0.46238,0.00438,0.93152,0.89749,0.94932,0.62255,1.26228,0.47661,0.00664,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,3599.55,1.1418,0.47718,0.00428,0.92491,0.90426,0.95098,0.62615,1.25878,0.46463,0.00661,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,3741.67,1.12698,0.45381,0.00429,0.92614,0.8922,0.94926,0.62459,1.2609,0.47299,0.00655,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3883.5,1.12416,0.46234,0.00434,0.92284,0.90344,0.94979,0.6233,1.25487,0.47623,0.00651,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,4026.23,1.13694,0.45722,0.00432,0.91315,0.90873,0.95014,0.62309,1.26274,0.47347,0.00656,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,4168.19,1.12498,0.45237,0.00426,0.91833,0.90146,0.94717,0.62204,1.25906,0.47385,0.00652,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,4310.59,1.12586,0.45088,0.00432,0.91415,0.9041,0.94757,0.62199,1.25831,0.47937,0.00652,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,4453.13,1.12911,0.46314,0.00437,0.91732,0.90985,0.94962,0.6264,1.25811,0.46827,0.00653,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,4595.32,1.1282,0.4697,0.00434,0.91945,0.90344,0.94902,0.62404,1.25012,0.48065,0.00647,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,4737.39,1.11504,0.46107,0.00429,0.9109,0.90741,0.94681,0.62266,1.25321,0.4774,0.00649,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,4879.49,1.10725,0.45544,0.00423,0.90864,0.90779,0.94706,0.62341,1.25677,0.47749,0.00649,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,5021.16,1.10913,0.45578,0.00427,0.91776,0.89308,0.9459,0.6226,1.25111,0.48158,0.00646,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,5163.79,1.11762,0.44516,0.00427,0.91676,0.90327,0.94793,0.62526,1.25172,0.47356,0.00645,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,5305.77,1.10291,0.44746,0.00426,0.92781,0.89352,0.94805,0.62701,1.25438,0.47008,0.00645,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,5447.4,1.11238,0.44569,0.0042,0.92309,0.9049,0.94992,0.62647,1.2611,0.4569,0.00654,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,5588.79,1.11176,0.45076,0.0043,0.92758,0.90013,0.94929,0.62519,1.25725,0.47299,0.00654,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,5730.96,1.10708,0.45357,0.00424,0.92218,0.90131,0.94767,0.6274,1.25091,0.47174,0.00649,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
